MAIN_ORG,ORGS,text,sentiments,score,month
10,BMCI-BNP PARIBAS BANQUE,"['Corporate Banking', 'BNP Paribas Wealth', 'BMCI', 'Global Finance', 'Global Finance', 'Global Finance']","BMCI-BNP Paribas Banque Privée vient d’être élue «Meilleure Banque privée au Maroc» pour l’année 2019, par le magazine «Global Finance». La cérémonie de remise des prix a été organisée à New York le 5 février devant 100 dirigeants financiers internationaux. «Ce prix atteste du formidable travail fourni par les équipes depuis la création de BMCI-BNP Paribas Banque Privée en 2010 et conforte notre position de banque privée de référence au Maroc», a déclaré Soraya Mahfoud, directrice de la Banque privée du groupe BMCI. Selon le groupe, BMCI-BNP Paribas Banque Privée n’a cessé de grandir pour devenir aujourd’hui l’un des cœurs de métier de la BMCI. «Elle continue, d’ailleurs d’offrir un potentiel de croissance et de développement important», est-il souligné. À noter que le parc clientèle a été multiplié par deux, durant les quatre dernières années au moment où le volume des actifs financiers s’est accru de 50%. Cette performance est portée notamment par les synergies développées avec le Corporate Banking du groupe BMCI. Globalement, BNP Paribas Wealth Management a été primée 5 fois par «Global Finance» notamment en tant que «meilleure banque privée du monde». Le magazine «Global Finance» a sélectionné les lauréats en identifiant les équipes de gestion de patrimoine «qui répondent le plus efficacement aux besoins spécifiques de leurs clients tout en cherchant à améliorer, préserver et transmettre leur patrimoine.», précise le groupe BMCI. 
",POSITIVE,1.0,avril
11,CMA CGM,['Intra Med'],"Les lignes CMA CGM Short Sea intègrent un nouveau service Intra Med. Baptisé Med Pendulum Service, il sera opéré par quatre navires, dont un de la compagnie française, à raison d'une fréquence tous les 10 jours pour une durée de voyage de 40 jours. Le service, qui devrait démarrer le 29 janvier à Salerne, en Italie, concerne également la rotation et terminaux de Casablanca, la Spezia, Gênes, Algésiras, Leixoes, Setubal, Marseille, Mersin, Lattaquié, Beyrouth et Alexandrie. 
",POSITIVE,1.0,avril
12,UPSINAUGURE,"['Hub Paris', 'Nando Cesarone', 'Chilly-Mazarin', 'Savigny', 'Europe', 'ISMEA']","UPSinaugure son nouveau Hub Paris. Cette nouvelle plateforme, «à la pointe de la technologie» a nécessité un investissement global de 100 millions de dollars, soit le plus important investissement jamais réalisé par le groupe en France. Étendu sur une superficie de 30.000 m², soit l’équivalent de 4 terrains de football, le site se veut «une nouvelle vitrine de la technologie de tri automatisé», indique UPS dans un communiqué. Il intègre également le plan d’investissement du groupe de 2 milliards de dollars (2015-2019) ayant pour objectif d’optimiser le réseau logistique du spécialiste de la logistique en Europe. «Grâce à de telles initiatives de modernisation et de croissance comme ce nouveau hub de Paris, UPS aide les entreprises européennes, petites et grandes, à se connecter avec leurs clients plus rapidement», a déclaré le président du groupe, Nando Cesarone. Grâce à son système de technologies avancées, avec des lignes automatisées, le site permet de trier jusqu’à 37.000 colis par heure, soit plus de deux fois la capacité des installations de Chilly-Mazarin et de Savigny qu’il remplace. «La France est un marché essentiel pour UPS où nous sommes présents depuis plus de 30 ans. Ce nouveau hub nous permet d’améliorer notre service pour nos clients. Au dernier trimestre, nous avons enregistré une hausse de plus de 10% de notre volume d’export, confirmant l’essor du commerce transfrontalier», a souligné pour sa part Rob Burrows, le DG France d’UPS. Pour rappel, depuis 2015, le groupe a ouvert deux hubs à Lyon et Montpellier, un centre de tri à Dijon ainsi qu’un site de livraison combiné avec le siège social d’UPS France à Paris. Cette amélioration du réseau français permet ainsi une meilleure connexion au réseau du groupe en Europe, mais aussi l’ouverture de nouveaux marchés pour les clients des régions d’Asie-Pacifique, d’Amérique latine et du sous-continent indien, Moyen-Orient et Afrique (ISMEA). 
",POSITIVE,1.0,avril
13,GCAM,"['CAM Leasing', 'CAM Leasing', 'GCAM']","Le groupe Crédit Agricole du Maroc (GCAM) complète son dispositif d’accompagnement des petits et grands agriculteurs, en lançant CAM Leasing. Initié à l’occasion du démarrage de la campagne agricole 2018-2019, CAM Leasing est présenté comme la première société de leasing «vert» au Maroc. Elle a pour mission le financement de la mécanisation de l’agriculture (tracteurs, moissonneuses-batteuses et toutes autres machines, matériels et équipements agricoles) et l’accompagnement de l’ensemble des industries agro-alimentaires. «À travers la mise en place de cette structure, le GCAM ambitionne de contribuer de manière “significative” aux objectifs de mécanisation de l’agriculture marocaine tels qu’édictés par le Plan Maroc vert», selon le groupe. «CAM Leasing propose ainsi des produits répondant aux différents besoins des agriculteurs et visant l’amélioration de leur productivité et de leurs revenus et leur développement durable au travers de la modernisation et du renforcement de leurs équipements et moyens de production», souligne le groupe dans un communiqué. Par ailleurs, afin de faciliter l’accès au financement pour les agriculteurs, le groupe a déployé, pour la campagne agricole 2018-2019 dont le lancement a été donné mardi à Marrakech, un dispositif spécifique avec notamment un dépôt à l’avance des demandes de crédit dès le 1er septembre et une simplification des procédures. 
La banque verte a également actualisé les normes de financement en révisant à la hausse les plafonds des montants accordés afin d’être plus en phase avec les coûts réels de production. De même, le crédit Achamil sera renouvelé automatiquement après paiement des intérêts. L’objectif est de permettre aux agriculteurs de poursuivre leurs activités indépendamment des aléas climatiques. 
",POSITIVE,1.0,avril
14,CDG CAPITAL,"['Fipar-Holding', 'Acacia', 'Branches', 'Branche Développement territoriale', 'Branche Tourisme', 'Madaëf', 'Branche investissement']","La Caisse de dépôt et de gestion (CDG) renforce son architecture de pilotage. Elle vient de créer une nouvelle structure organisationnelle baptisée «Branche investissement». Celle-ci est portée par la holding «CDG Invest» et comprend dans son périmètre les filiales Fipar-Holding, Acacia Participations, CDG Capital Private Equity et CDG Capital Infrastructures. La création de cette branche Investissement a pour but de «permettre au Groupe CDG de développer son positionnement “Investisseur” tel que défini dans le cadre de son plan stratégique 2017-2022, dans les meilleures conditions de moyens, de cohérence et de lisibilité», indique le groupe dans un communiqué. 
Les structures organisationnelles dites «Branche» sont, elles, créées dans le cadre de la mise en œuvre de la nouvelle architecture de pilotage du Groupe CDG. Elles constituent une structure managériale par métier et pilotent des filiales opérant dans le même secteur d'activité. C’est dans cette logique que deux Branches avaient vu le jour en octobre 2017 : Branche Développement territoriale, portée par CDG Développement, et Branche Tourisme, portée par Madaëf. Pour rappel, la stratégie 2022 du Groupe CDG privilégie les modes d'intervention en tant qu’«Expert», «Co-Financeur» et «Investisseur» par rapport au mode «Opérateur» adopté pendant longtemps par le Groupe. Ces nouveaux modes permettent à la CDG de mieux répondre aux enjeux économiques du Royaume, notamment ceux liés à l’évolution de son modèle de développement, à la régionalisation avancée, à la transition énergétique et au développement durable. Le tout en lui permettant de consolider son modèle économique, d’accroître significativement ses capacités d’intervention et de mieux gérer ses risques. 
",POSITIVE,1.0,avril
15,ORANGE,"['MTN', 'Mowali']","Le groupe Orange se renforce dans le mobile money en Afrique. L’opérateur télécoms s’est allié au groupe MTN pour lancer une entreprise commune, Mowali. Celle-ci permet l’interopérabilité des paiements sur l’ensemble du continent, en rendant possible tout transfert de fonds entre comptes de mobile money, «en temps réel et à coût réduit, quel que soit l’opérateur», annoncent les deux entités dans un communiqué conjoint. Mowali bénéficie des bases clients mobile money de MTN et d’Orange, soit plus de 100 millions de comptes sur 22 des 46 marchés de l’Afrique subsaharienne. «Mowali est destinée à permettre l’interopérabilité au-delà des marchés existants de MTN et d’Orange, afin d’en faire bénéficier les 338 millions de clients de mobile money en Afrique», soulignent les deux groupes. Concrètement, ces derniers lanceront une plateforme qui connecte fournisseurs de services financiers et clients au sein d’un réseau unique. Elle fonctionne comme une société de services, ouverte à tout fournisseur de mobile money, en Afrique, y compris les banques, les opérateurs de transfert d’argent et les autres fournisseurs de services financiers. L’objectif de Mowali est d’accroître l’usage des services de mobile money, auprès des utilisateurs et des commerçants, quel que soit le pays et l’opérateur. «En offrant une interopérabilité totale entre les différentes plateformes, Mowali constitue un pas en avant significatif permettant au mobile money de devenir un moyen de paiement universel en Afrique. Accroître l’inclusion financière en utilisant les technologies du numérique est un élément essentiel pour le développement économique de l’Afrique, en particulier pour les communautés les plus isolées», a déclaré Stéphane Richard, PDG d’Orange.
",POSITIVE,1.0,avril
16,BMCE BANK OF AFRICA,"['CDC', 'CDC ', 'CDC']","BMCE Bank of Africa augmente son capital. L’assemblée générale extraordinaire, qui s’est tenue le 4 septembre dernier, a autorisé cette opération d’un montant maximum, prime d’émission incluse, de 1,930 milliards de DH au prix de souscription de 180 DH par action. Soit une prime d’émission de 170 DH par action à libérer intégralement par CDC Group plc (CDC) par apport en espèces lors de l’augmentation du Capital social. «Les actions nouvelles porteront jouissance courante de manière à être totalement assimilables aux actions existantes de BMCE Bank à compter du 1er janvier de l’année au cours de laquelle lesdites actions seront émises et donneront droit aux distributions de bénéfices ou aux répartitions de réserves, de primes ou de réduction de capital social, de quelque nature que ce soit, qui pourraient être décidées par BMCE Bank of Africa à compter de la date de réalisation définitive de l’Augmentation du Capital social», indique la banque. La prise de participation de CDC Group plc, a été autorisée lors d’une réunion du Conseil d’administration de la banque, le 18 juin dernier.
«L’entrée de CDC Group plc dans le capital social de BMCE Bank of Africa, tout en s’inscrivant dans le cadre de la mise en œuvre du plan de financement accompagnant le Plan stratégique de développement 2019-2021 de la banque, scelle un partenariat stratégique entre les deux institutions», avait annoncé la banque. Il s’agit du premier investissement direct en fonds propres de la CDC au Maroc et l’un des plus importants jamais réalisés dans le secteur financier marocain par une institution britannique. 
",POSITIVE,1.0,avril
17,CAISSE DE DÉPÔT ET DE GESTION CDG,no organisation,"Bons résultats pour la Caisse de dépôt et de gestion (CDG) au 3e trimestre. Son produit net bancaire a plus que doublé sur un an pour atteindre 5,86 milliards de DH à fin septembre dernier. Cette croissance s’explique entre autres par la progression de marge d’intérêt du groupe qui ressort à 310,42 millions de DH, soit une hausse de 171,55%. Sa marge sur commission recule légèrement en revanche pour se situer à 368,11 millions de DH. 
En outre, les charges générales d’exploitation atteignent 3,03 milliards de DH. Les dotations aux amortissements, elles, se situent à 579,85 millions de DH.
Le groupe affiche un résultat brut d’exploitation de 2,25 milliards de DH, contre un résultat négatif de 74,71 millions de DH un an plus tôt. Son coût du risque a, pour sa part, plus que doublé : 
263,22 millions de DH contre 122,68 millions de DH au 3e trimestre 2018.
Le résultat avant impôt a presque dix fois augmenté en un an, avec 2,27 milliards de DH (232,21 millions au 3e trimestre 2018). Le résultat Net, enfin, se situe à 258,58 millions de DH, soit une croissance de 47,7% sur un an. 
",POSITIVE,1.0,avril
18,BMCE BANK,"['Banque Populaire', 'CIH Bank']","Nouveau pas pour BMCE Bank dans les services digitaux. Sa solution de paiement mobile «DabaPay» est d’ores et déjà prête dans un marché en attente de l’interopérabilité et du lancement officiel de la Solution nationale de paiement mobile prévue le mois prochain. Les plateformes mobiles se multiplient donc avec B-Pay Banque Populaire), «WePay» (CIH Bank) et maintenant «DabaPay».
Le portefeuille virtuel «DabaPay» de BMCE Bank est adossé à un compte bancaire, à un compte de paiement ou à une carte prépayée. Le tout permet de réaliser différentes opérations bancaires «sécurisées, pratiques et rapides». 
Dans le but d’offrir une expérience client optimale et réussie, la solution mobile «DabaPay» permet de faire des opérations de transfert d’argent instantané et en toute sécurité, de versement via différents canaux, de retrait sans carte bancaire sur l’un des 800 guichets automatiques du groupe et enfin, de consultation de solde du compte et de téléchargement des relevés des opérations réalisées. 
«Accordant une place stratégique à l’innovation des offres et résolument engagée à entretenir une relation de proximité avec ses clients, BMCE Bank traduit ainsi son engagement fort et son positionnement de banque connectée à l’avenir et en permanence à son écosystème», souligne le groupe dans un communiqué. l'utilisation importante d'engrais», a-t-il déclaré. 
",POSITIVE,1.0,avril
19,BANQUE PRIVÉE DU GROUPE BMCI,"['Corporate Banking', 'BNP Paribas Wealth', 'BMCI', 'Global Finance', 'Global Finance', 'Global Finance']","BMCI-BNP Paribas Banque Privée vient d’être élue «Meilleure Banque privée au Maroc» pour l’année 2019, par le magazine «Global Finance». La cérémonie de remise des prix a été organisée à New York le 5 février devant 100 dirigeants financiers internationaux. «Ce prix atteste du formidable travail fourni par les équipes depuis la création de BMCI-BNP Paribas Banque Privée en 2010 et conforte notre position de banque privée de référence au Maroc», a déclaré Soraya Mahfoud, directrice de la Banque privée du groupe BMCI. Selon le groupe, BMCI-BNP Paribas Banque Privée n’a cessé de grandir pour devenir aujourd’hui l’un des cœurs de métier de la BMCI. «Elle continue, d’ailleurs d’offrir un potentiel de croissance et de développement important», est-il souligné. À noter que le parc clientèle a été multiplié par deux, durant les quatre dernières années au moment où le volume des actifs financiers s’est accru de 50%. Cette performance est portée notamment par les synergies développées avec le Corporate Banking du groupe BMCI. Globalement, BNP Paribas Wealth Management a été primée 5 fois par «Global Finance» notamment en tant que «meilleure banque privée du monde». Le magazine «Global Finance» a sélectionné les lauréats en identifiant les équipes de gestion de patrimoine «qui répondent le plus efficacement aux besoins spécifiques de leurs clients tout en cherchant à améliorer, préserver et transmettre leur patrimoine.», précise le groupe BMCI. 
",POSITIVE,1.0,avril
20,ARADEI CAPITAL,"['E', 'AMMC', 'Autorité marocaine du marché des capitaux']","La société Aradei Capital émettra en une ou plusieurs tranches un emprunt obligataire garanti de 600 millions de DH maximum. Cette opération porte sur l’émission de 6.000 obligations d’une valeur nominale de 100.000 DH. La période de souscription est fixée du 26 au 30 octobre 2018 et la date de jouissance au 8 novembre prochain, souligne l’AMMC (Autorité marocaine du marché des capitaux). Les principaux objectifs de cette levée de fonds sont : la diversification des sources de financement externes de la société, le financement d’une partie de son programme d’investissements sur les prochaines années et le maintien d’une situation positive de sa trésorerie, permettant de développer de nouveaux projets immobiliers. Il s'agit aussi pour la foncière immobilière de consolider son image auprès des zinzins.
La maturité de l’emprunt est de 5 ans pour les tranches A et B et le taux d’intérêt facial est fixé à 2,84% augmenté d’une prime de risque comprise entre 180 et 200 points de base (pbs). Pour les tranches C et D, la maturité de l’emprunt est de 7 ans et le taux d’intérêt de 2,86% augmenté d’une prime de risque entre 160 et 180 pbs. Quant à la tranche E, son taux d’intérêt est 2,44%, augmenté d’une prime de risque comprise entre 160 et 180 pbs. 
La souscription primaire des obligations est réservée aux investisseurs qualifiés de droit marocain qui sont principalement les compagnies financières, les organismes de placement collectif en valeurs mobilières, les établissements de crédit, les entreprises d’assurance et de réassurance, la Caisse de dépôt et de gestion et les organismes de retraite et de pension. 
Les souscripteurs peuvent formuler une ou plusieurs demandes de souscription en précisant le nombre de titres demandés, le montant de la souscription, la tranche et le taux. Les organismes chargés du placement recueillent les ordres de souscription auprès des investisseurs à l’aide des bulletins de souscription. 
",POSITIVE,1.0,avril
21,ORANGE,no organisation,"La région Afrique/Moyen-Orient figure en bonne place dans le nouveau plan stratégique du groupe Orange. Sur la période 2020-2023, il compte y réaliser un taux de croissance annuel moyen de son chiffre d’affaires d’environ 5%. La recette ?",POSITIVE,1.0,avril
